,NAME,SEAT_CAP,long,lat
34,Arturo'S Mex-Restaurant,Seating 13-50,-122.3242494,47.402924
35,Asa Mercer Middle School,School Kitchen,-122.3120812,47.5641346
36,Asensio Coffee,Seating 13-50,-122.3593475,47.3002606
37,Asgard Tavern,Seating 13-50,[0.0],[0.0]
38,Ashley Furiture Homestore,Seating 13-50,-122.2631132820328,47.4439079
39,Ashwood Urban Market,Seating 0-12,[0.0],[0.0]
40,Asia Bbq & Fast Food,Seating 0-12,-122.324689,47.5990209
41,Asia Ginger,Seating 13-50,-122.331795,47.6005131
42,Asian Express,Grocery,-122.3144423,47.5838333
43,Asian Food Center-Grocery,Grocery,-122.1466602,47.6271366
44,Asian Food Center-Seafood,Meat/Sea Food,-122.1466602,47.6271366
45,Asian Gardens Buffet,Seating > 250,-122.2468045734352,47.378452949999996
46,Asian Pacific Market And Deli,Seating 0-12,-122.2017094,47.3712687
47,Asian Pacific Market/Grocery,Grocery,-122.2017094,47.3712687
48,Asian Pacific Market/Seafood,Meat/Sea Food,-122.2017094,47.3712687
49,Asian Palette Bento Teriyaki,Seating 13-50,-122.3452038,47.734507
50,Asian Xpress / Hong Kong Market - Deli,Seating 0-12,-122.2302821,47.3812871
51,Asian Xpress / Hong Kong Market - Grocery,Grocery,-122.2302821,47.3812871
52,Bartell Drugs #28,Grocery,[0.0],[0.0]
53,Bartell Drugs #29,Grocery,-122.0337456,47.6144449
54,Bartell Drugs #31,Grocery,-122.2973441,47.663506
55,Bartell Drugs #34,Grocery,[0.0],[0.0]
56,Bartell Drugs #40,Grocery,-122.20536670568248,47.61863475
57,Bartell Drugs #41,Grocery,-122.3458226,47.4685798
58,Bartell Drugs #43,Grocery,-122.2936085,47.4941777
59,Bartell Drugs #44,Grocery,-122.196645,47.6658533
60,Bartell Drugs #47,Grocery,-122.04628084014396,47.3885863
61,Bartell Drugs #59,Grocery,-122.1323682,47.6133384
62,Bartell Drugs #62,Grocery,-122.3452038,47.734507
63,Bartell Drugs #63,Grocery,-122.30117345402405,47.5815778
64,Bartell Drugs #66,Grocery,-122.2955957,47.7196282
65,Bartell Drugs #67,Grocery,-122.3573432,47.6367851
66,Bartell Drugs #68,Grocery,-122.1517031,47.464134
67,Bartell Drugs #8,Grocery,-122.353913,47.5336929
68,Bartell Drugs #9,Grocery,-122.3574016,47.6910062
69,Bartell Drugs Store #52,Grocery,-122.1135142,47.6837986
70,Bartell Drugs; #23,Grocery,-122.3213422,47.6134138
71,Bartell Drugs; #32,Grocery,-122.3118145,47.3592113
72,Barwaago Cafe,Seating 0-12,[0.0],[0.0]
73,Bashro Market / Deli,Seating 0-12,-122.2317984,47.3817335
74,Basil'S Kitchen,Seating 151-250,-122.29055869456585,47.65943985
75,Basil Box,Seating 0-12,-122.33071812801815,47.60454285
76,Baskin-Robbins,Seating 0-12,-122.20658675391746,47.75985585
77,Bill And Johns Food Center,Grocery,[0.0],[0.0]
78,Bill Pace Fruit & Produce,Grocery,-122.1806679,47.5591435
79,Bill Pace Fruit & Produce/Cafe Pace,Seating 13-50,-122.1806679,47.5591435
80,Bill The Butcher,Meat/Sea Food,-122.3413554,47.6625858
81,Bill The Butcher #2,Meat/Sea Food,-122.2886113,47.6613226
82,Bill The Butcher #5,Meat/Sea Food,-122.40034400043123,47.654263799999995
83,Billie On Gourmet Burger,Seating 0-12,-122.3452038,47.734507
84,Billy Baroo'S Bar & Grill,Seating 51-150,-122.26513363511123,47.481316050000004
85,Billy Beach Sushi & Bar,Seating 13-50,-122.384243,47.6681849
86,Billy Mc Hale'S,Seating > 250,-122.3104021,47.31554645
87,Bin On The Lake,Seating 51-150,-122.2075474,47.6568752
88,Bindlestick; The,Seating 0-12,[0.0],[0.0]
89,Bing Of Fire @ Route 727-410-4671,Mobile Food Service,-122.3869651,47.6684979
90,Bis On Main,Seating 13-50,-122.2040693,47.6101713
91,Bishops Alehouse,Seating 51-150,-122.209773,47.7068584
92,Bison Creek Pizza,Seating 51-150,[0.0],[0.0]
93,Bistro @ Aljoya,Seating 0-12,-122.32353130373814,47.701789649999995
94,Bistro Baffi,Seating 13-50,-122.3610848,47.4662059
95,Bistro Turkuaz,Seating 0-12,-122.289151,47.6121496
96,Bitterroot Seattle,Seating 51-150,-122.3832191,47.6662498
97,Bizzarro Italian Cafe,Seating 13-50,-122.34167611301875,47.6619683
98,A Fire Inside Wood Fired Pizza @ Route 206-713-0512,Mobile Food Service,-122.2212051,47.4433284
99,A G Bell Elementary School,School Kitchen,-122.19133169706664,47.7014769
100,A Happy Hot Dog @ Route 503-680-6860,Mobile Food Service,-122.21279191394558,47.752722899999995
101,A La Bonne Franquette,Seating 13-50,-122.2926778,47.5896466
102,A La Mode Pies,Seating 0-12,-122.3545905,47.671748
103,A Pizza Mart,Seating 0-12,-122.2853744,47.3804594
104,A Platinum Event,Catering Operation,[0.0],[0.0]
105,A Street Valero,Grocery,-122.22910673142825,47.30458875
106,A Terrible Beauty,Seating 51-150,-122.33181230163085,47.62873664999999
107,A Terrible Beauty Irish Pub,Seating 151-250,-122.20695478616759,47.4810779
108,A Terrible Beauty Irish Pub & Restaurant,Seating 51-150,-122.3866085,47.5594825
109,A1 Mart,Seating 0-12,-122.3549575,47.7046027
110,A1 Sushi,Seating 13-50,[0.0],[0.0]
111,Aa Sushi,Seating 51-150,-122.2117891,47.7070011
112,Aahaar,Seating 13-50,[0.0],[0.0]
113,Aaron Brenners Bakery & Deli,Seating 0-12,-121.9908322,47.2027581
114,Aarons Pizza Palace,Seating 0-12,[0.0],[0.0]
115,Abarrotes El Mexicano,Grocery,-122.294613,47.5745026
116,Abarrotes El Oaxaqueno,Grocery,-122.3138815,47.5630348
117,Abarrotes Quinceo,Grocery,[0.0],[0.0]
118,Abay Ethiopian Restaurant,Seating 13-50,-122.3202059,47.6412335
119,Abbondanza,Seating 51-150,-122.38742,47.5446407
120,Abboud'S Mc Donald'S,Seating 51-150,[0.0],[0.0]
121,Abc Book Store,Grocery,-122.1612316,47.2803086
122,Abc Grocery,Grocery,-122.3263732,47.4016524
123,Abdul Gafoor Halal Meat Market,Seating 0-12,[0.0],[0.0]
124,Absolut Hot Dog @ 20409 Aurora Ave N Shoreline,Mobile Food Service,-122.3475748,47.6630224
125,Abye Restaurant,Seating 51-150,-122.31575412943548,47.32267965
126,Abyssinia Market,Seating 0-12,-122.3439579,47.6151537
127,Acapulco Fresh @ Ms 98,Seating 51-150,-122.1357983,47.6459663
128,Acapulco Fresh Kenmore,Seating 13-50,[0.0],[0.0]
129,Acme Bowling; Billiards; Events,Seating > 250,-122.2533301,47.4595705
130,Acorn Catering,Catering Operation,-122.3021059,47.7556115
131,Acquabar,Seating 51-150,-122.3443824,47.6148403
132,Acropolis Pizza & Pasta,Seating 51-150,-122.1985483,47.679143249999996
133,Acura Of Bellevue,Seating 0-12,-122.1597504,47.628382
134,Ad Food Mart,Seating 0-12,-122.3873188559144,47.568230150000005
135,Ada'S Technical Books & Cafe,Seating 13-50,-122.3128926,47.6226867
136,Adams Elementary School,School Kitchen,-122.3915569,47.67346645
137,Adelaide Elem School,School Kitchen,-122.35642993900566,47.3288181
138,Adesa Washington @ 621 37Th St Nw; Auburn,Limited Food Services,-122.23787208662333,47.34093385
139,Adey Abeba Ethiopian Restaurant,Seating 13-50,-122.3038368,47.6127907
140,Admiral Bird,Seating 13-50,-122.3862429,47.5809941
141,Admiral Chevron,Seating 0-12,-122.387013,47.5815431
142,Admiral Pub,Seating 51-150,-122.3862243,47.5826988
143,Admiral Theatre,Seating 0-12,-122.4116859,47.6572502
144,Adrienne'S Cakes & Pies,Catering Operation,-122.2212051,47.4433284
145,Advanced Fresh Concepts,Seating 0-12,-122.33577704082913,47.44180875
146,Aerie,Seating 13-50,-122.1917141121047,47.6577568
147,Aerojet,Seating 51-150,-122.1539368,47.6725097
148,Afc @ Metropolitan Market,Seating 0-12,-122.1972297,47.6658576
149,Afc Sushi,Seating 0-12,-122.386030685262,47.579870299999996
150,Afc Sushi  (Qfc #824),Seating 0-12,-122.0355556,47.5845809
151,Afc Sushi  @  (Qfc #866),Seating 0-12,[0.0],[0.0]
152,Afc Sushi #161 @ Metropolitan Market,Seating 0-12,-122.4005524,47.6552831
153,Afc Sushi & Metropolitan #153,Seating 0-12,-122.38477882964776,47.58214135
154,Afc Sushi (Fred Meyer #00664),Seating 0-12,-122.1046230601111,47.670554949999996
155,Afc Sushi (Safeway #490),Seating 0-12,[0.0],[0.0]
156,Afc Sushi @  Qfc Store #863,Seating 0-12,[0.0],[0.0]
157,Afc Sushi @ Fred Meyer #111,Seating 0-12,-122.3594006,47.2980288
158,Afc Sushi @ Fred Meyer #28,Seating 0-12,-122.33162247667852,47.47533965
159,Afc Sushi @ Fred Meyer #459,Seating 0-12,-4.5863281,55.970407
160,Afc Sushi @ Fred Meyer #53,Seating 0-12,-122.1182456,47.3568184
161,Afc Sushi @ Fred Meyer #658,Seating 0-12,-122.0357343,47.541911
162,Afc Sushi @ Fred Meyer #682,Seating 0-12,[0.0],[0.0]
163,Afc Sushi @ Fred Meyer 122,Seating 0-12,-122.3588481,47.6918967
164,Afc Sushi @ Fred Meyers #23,Seating 0-12,-122.1430588,47.6101047
165,Afc Sushi @ Fred Meyers #391,Seating 0-12,-122.1840301,47.7083941
166,Afc Sushi @ Metopolitan Market#157,Seating 0-12,-122.355052,47.6247495
167,Afc Sushi @ Metropolitan 156,Seating 0-12,-122.28361822213222,47.6681887
168,Afc Sushi @ Pcc Redmond 12,Seating 0-12,-122.0934016,47.7015875
169,Afc Sushi @ Qfc #803,Seating 0-12,-122.1635929,47.3876223
170,Afc Sushi @ Qfc #806,Seating 0-12,-122.2270594,47.542046
171,Afc Sushi @ Qfc #811,Seating 0-12,-122.37786682157447,47.64941585
172,Afc Sushi @ Qfc #819,Seating 0-12,-122.2112666,47.7657207
173,Afc Sushi @ Qfc #821,Seating 0-12,[0.0],[0.0]
174,Afc Sushi @ Qfc #828,Seating 0-12,-122.19122456035848,47.7124422
175,Afc Sushi @ Qfc #829,Seating 0-12,-121.78052695465243,47.4932874
176,Afc Sushi @ Qfc #837,Seating 0-12,-122.04501107925287,47.3880453
177,Afc Sushi @ Qfc #839,Seating 0-12,-122.2329051,47.5850259
178,Afc Sushi @ Qfc #840,Seating 0-12,-122.00335979035142,47.56566805
179,Afc Sushi @ Qfc #849,Seating 0-12,-122.2998367,47.5787483
180,Afc Sushi @ Qfc #869,Seating 0-12,-122.335989,47.6617288
181,Afc Sushi @ Qfc #871,Seating 0-12,-122.1548173,47.4898049
182,Afc Sushi @ Qfc #872,Seating 0-12,-122.3636648001913,47.7019318
183,Afc Sushi @ Qfc #874,Seating 0-12,-122.14849578271198,47.5968855
184,Afc Sushi @ Qfc #878,Seating 0-12,-122.088964,47.6891342
185,Afc Sushi @ Qfc #881,Seating 0-12,-122.3472754,47.6246921
186,Afc Sushi @ Qfc #883,Seating 0-12,-122.3852393,47.5613693
187,Afc Sushi @ Qfc #887,Seating 0-12,-122.320847,47.6186726
188,Afc Sushi @ Qfc 822,Seating 0-12,-122.1702876,47.5541905
189,Afc Sushi @ Qfc 825,Seating 0-12,-122.36594271783112,47.522088999999994
190,Afc Sushi @ Qfc 860,Seating 0-12,-122.127345,47.6810002
191,Afc Sushi @ Qfc 873,Seating 0-12,-122.29020420630928,47.6897375
192,Afc Sushi @ Qfc; #847,Seating 0-12,-122.3210828,47.6138791
193,Afc Sushi @ Safeway # 1471,Seating 0-12,[0.0],[0.0]
194,Afc Sushi @ Safeway # 1586,Seating 0-12,-122.31196406580874,47.7180447
195,Afc Sushi @ Safeway # 2734,Seating 0-12,-122.2063788260844,47.72363675
196,Afc Sushi @ Safeway #1550,Seating 0-12,-122.31693733018638,47.6818472
197,Afc Sushi @ Safeway #3006,Seating 0-12,-122.01963041669713,47.54134955
198,Afc Sushi @ Safeway #555,Seating 0-12,-122.03351400500472,47.615362250000004
199,Afc Sushi @ Safeway ; #1551,Seating 0-12,-122.312948,47.6201294
200,Afc Sushi @Qfc #808,Seating 0-12,-122.20536670568248,47.61863475
201,Afc Sushi @Qfc #816,Seating 0-12,-122.3664472,47.7651211
202,Afc Sushi @Qfc #826,Seating 0-12,-122.130154,47.6209366
203,Afc Sushi @Qfc 820,Seating 0-12,-122.1286791,47.6755936
204,Afc Sushi@Qfc #891,Seating 0-12,-122.3872019,47.6705565
205,Afghan Cuisine,Seating 13-50,-122.2041756,47.4812811
206,Afgoye Mini Market,Meat/Sea Food,-122.1980767,47.3714356
207,Afk Elixirs & Eatery,Seating > 250,-122.21746321101836,47.445667
208,Afrikando Banadir,Seating 13-50,-122.28291338754866,47.555732649999996
209,After 5 Sports Bar,Seating 51-150,-122.1959174,47.4136998
210,Agave,Seating 51-150,[0.0],[0.0]
211,Agave Cocina & Cantina,Seating 151-250,-122.1425603,47.6751757
212,Agave Cocina & Tequilas,Seating 51-150,-122.3551075,47.6234316
213,Agrodolce,Seating 51-150,-122.3493389,47.6502979
214,Agua Verde Cafe,Seating 51-150,-122.3143795,47.6516032
215,Aguacateros,Seating 13-50,-122.20182354082567,47.386400050000006
216,Baskin-Robbins #1369,Seating 0-12,-122.3129247,47.3196624
217,Baskin-Robbins ; #1362,Seating 0-12,[0.0],[0.0]
218,Baskin-Robbins 1312,Seating 0-12,-122.1323495,47.6300347
219,Baskin-Robbins 31 Flavors#4335,Seating 0-12,[0.0],[0.0]
220,Baskin-Robbins Ice Cream,Seating 0-12,-122.34755705401412,47.7634094
221,Baskin & Robbins,Seating 0-12,-122.2203038294582,47.32449045
222,Baskin & Robbins #1348,Seating 0-12,-122.138147664149,47.5765346
223,Baskin & Robbins Ice Cream,Seating 0-12,[0.0],[0.0]
224,Baskin Robbins,Seating 0-12,-85.0179986,42.4437685
225,Baskin Robbins #1304,Seating 0-12,-122.2920831,47.6614585
226,Baskin Robbins #4347,Seating 0-12,-122.2797136,47.7543645
227,Baskin Robbins Gyros & Donuts,Seating 13-50,-122.2462107,47.3815828
228,Baskins & Robbins Fairwood Ctr,Seating 0-12,-122.1517031,47.464134
229,Bastille Cafe & Bar,Seating 151-250,-122.3836103,47.66655
230,Bastyr University,Non-Profit Institution,-122.2500101,47.7513039
231,Batch 206 Distillery,Seating 51-150,-122.3742762,47.6306513
232,Bauhaus Ballard,Seating 51-150,-122.382312,47.6684223
233,Bauhaus Books & Coffee,Seating 51-150,-122.326021,47.6153439
234,Bavarian Meat Products,Seating 0-12,-122.34283,47.610141
235,Bay Leavs Indian Foods,Catering Operation,-122.1943442,47.6819779
236,Bayan Mongolian Bbq,Seating 13-50,-121.87643429847063,47.52861394999999
237,Baymont Inn & Suites,Seating 13-50,-122.17823399914263,47.702751649999996
238,Bayou Grill,Seating 0-12,[0.0],[0.0]
239,Bayou On 1St,Seating 13-50,-122.340759,47.60938
240,Bbq Chicken Uw,Seating 13-50,-122.3133049,47.6620626
241,Bbq Pete'S,Seating 51-150,[0.0],[0.0]
242,Bbq Schacht,Seating 13-50,[0.0],[0.0]
243,Be'S Restaurant,Seating 13-50,-122.3873313,47.5626162
244,Beach House Bar & Grill,Seating 51-150,[0.0],[0.0]
245,Beachcomber Tavern,Seating 51-150,-122.249758,47.4998239
246,Beacon Ave Sandwiches,Seating 0-12,-122.3106119,47.5775577
247,Beacon Avenue Shell Food Mart,Seating 0-12,-122.31376243678875,47.58150235
248,Beacon Hill 76,Seating 0-12,-122.3145268318341,47.581176600000006
249,Beacon Hill Market- Seafood,Meat/Sea Food,-122.3106119,47.5775577
250,Beacon Hill Market - Grocery,Grocery,-122.3106119,47.5775577
251,Beacon Hill Market - Meat Shop,Meat/Sea Food,-122.3106119,47.5775577
252,Bean & Bagel,Seating 13-50,-122.3128296,47.6554482
253,Bean City Espresso,Limited Food Services,-122.2946807,47.7206578
254,Bean Sprouts (Kc249) @ Seattle Sprouts Llc,Mobile Food Service,-122.35397700018214,47.6220986
255,Bear Creek Elementary School,School Kitchen,-122.08052982500001,47.7595254
256,Bear Creek Golf Course #431,Seating > 250,[0.0],[0.0]
257,Bear Creek School,Non-Profit Institution,-122.0888681,47.6855929
258,Beard Papa'S,Bakery,[0.0],[0.0]
259,Beauty And The Beans,Limited Food Services,[0.0],[0.0]
260,Beaver Lake Middle School,School Kitchen,[0.0],[0.0]
261,Beba'S Deli,Seating 13-50,-122.334425,47.5986272
262,Bebas & Amigos,Seating 51-150,-122.32963866789018,47.60503555
263,Bebas And Dos Amigos,Seating 13-50,-122.3306081,47.6198994
264,Bebas Deli,Seating 0-12,[0.0],[0.0]
265,Bed & Breakfast On Broadway,Bed and Breakfast,-122.320847,47.6186726
266,Bed & Breakfast On Capitol Hill,Bed and Breakfast,-122.32160065018158,47.626150550000006
267,Bed Bath & Beyond,Seating 0-12,[0.0],[0.0]
268,Bedlam,Seating 13-50,-122.345447,47.6136912
269,Beecher'S Handmade Cheese,Seating 0-12,-122.3418158,47.6095818
270,Beehive Espresso,Seating 0-12,-122.21160083251232,47.7565173
271,Beer Authority,Seating 13-50,-122.2934279,47.7219046
272,Beer Junction,Seating 13-50,-122.3870064,47.5625293
273,Beijing O Chef,Seating 51-150,-122.2049274,47.6770483
274,Bel Red Arco,Seating 0-12,-122.1779667,47.6188932
275,Belen,Seating 13-50,[0.0],[0.0]
276,Bell Harbor Int Conference Ctr /  Restaurant,Seating 151-250,-122.34926787500001,47.61114245
277,Bell Harbor Intn'L - Banquet Kitchen - 2Nd Flr.,Catering Operation,-122.34926787500001,47.61114245
278,Bell St Deli & Grocery,Seating 0-12,-122.3489721,47.6110277
279,Bell Thai  Thai  Restaurant,Seating 13-50,-122.3432264,47.6147395
280,Bella Bottega Cinema #403,Seating 0-12,-122.12262668188835,47.6808027
281,Bella Luna Pizza And Pasta,Seating 0-12,-122.3381966,47.4656819
282,Bella Viet Cafe,Seating 13-50,-122.280351,47.6338856
283,Bellas Artes Bakery,Bakery,-122.3116734428312,47.3390474
284,Belle Pastry,Seating 13-50,-122.2030425,47.6102752
285,Bellevue Brewing Company,Seating 151-250,-122.1662253,47.626576
286,Bellevue Children'S Academy,School Kitchen,-122.1455713,47.6321176
287,Bellevue Christian School - Concession,Non-Profit Institution,-122.2097978,47.6274403
288,Bellevue Christian School - Main Kitchen,Non-Profit Institution,-122.2097978,47.6274403
289,Bellevue Club - Luna,Seating 0-12,-122.2054349,47.6042776
290,Bellevue Club - Polaris/Cosmos Bar,Seating 51-150,-122.2054349,47.6042776
291,Bellevue Club - Splash,Seating 51-150,-122.2054349,47.6042776
292,Bellevue Fairfield Inn,Seating 51-150,-122.1466387,47.6344987
293,Bellevue G.C.,Seating 51-150,-122.1535591,47.6125993
294,Bellevue Grill,Seating 51-150,-122.18988682742199,47.6108429
295,Bellevue Hs/Cafeteria,School Kitchen,[0.0],[0.0]
296,Bellevue Hs/Concessions/Rm 1242,Non-Profit Institution,[0.0],[0.0]
297,Bellevue Hs/Student Store,Non-Profit Institution,[0.0],[0.0]
298,Bellevue International School,School Kitchen,-122.1694091,47.6094593
299,Bellevue Public Schools (Esc),Seating 0-12,-122.1653545,47.6104531
300,Bellevue Shell,Grocery,-122.1533606,47.6176559
301,Bellevue Silver Cloud Inn,Seating 13-50,-122.2015446,47.6210402
302,Bellewood,School Kitchen,-122.1381895,47.609919
303,Bellewood Retirement Apts,Seating 51-150,[0.0],[0.0]
304,Bellini,Seating 0-12,-122.3466219,47.6136323
305,Bellisimo Espresso,Seating 0-12,-122.1655728,47.6172417
306,Belltown Billiards,Seating 51-150,-122.3456212,47.6124652
307,Belltown Cafe Market,Seating 0-12,-122.35238849401236,47.6176675
308,Belltown Pizza,Seating 13-50,-122.3482579,47.6146017
309,Belltown Pub,Seating 51-150,-122.3471252,47.6139415
310,Beloved Mexico @ 9434 36Th Ave Sw; Seattle  98126,Mobile Food Service,-122.3777685,47.5617127
311,Ben & Jerry,Seating 13-50,[0.0],[0.0]
312,Ben & Jerry'S,Seating 0-12,-122.2057816,47.6741901
313,Ben & Jerry'S (Kc172),Mobile Food Service,[0.0],[0.0]
314,Ben & Jerry'S @ Route 360-970-6849,Mobile Food Service,[0.0],[0.0]
315,Ben Thanh,Seating 51-150,-122.2957123,47.5747549
316,Benaroya Shell,Seating 0-12,-122.32572796627504,47.546704000000005
317,Bengodi Cafe,Seating 13-50,-122.334204,47.6027182
318,Benihana Of Tokyo,Seating 151-250,-122.3330797748389,47.608443699999995
319,Benito'S Chicago Eatery,Seating 13-50,-122.3764631,47.6739503
320,Benjamin Rush Elementary,School Kitchen,-122.1375199,47.6455846
321,Benjarong Thai,Seating 13-50,[0.0],[0.0]
322,Benjarong Thai Restaurant,Seating 13-50,[0.0],[0.0]
323,Benson Dairy Queen,Seating 51-150,-122.1965168,47.4424876
324,Benson Hill Elementary Kitchen,School Kitchen,-122.18797408117048,47.43486
325,Benson Mart,Grocery,-122.1965109,47.4164314
326,Benson Pizza,Seating 13-50,-122.2031312,47.38989
327,Bensons Grocery,Grocery,-122.3270474,47.61432295
328,Bent Burgers,Seating 13-50,[0.0],[0.0]
329,Bento Box; The,Seating 13-50,-122.1098547,47.6312363
330,Bento House,Seating 13-50,-122.0355556,47.5845809
331,Bento Sushi,Seating 13-50,-122.37726807491896,47.69076
332,Bento Teriyaki,Seating 13-50,-122.2112666,47.7657207
333,Bento World,Seating 0-12,-122.342044,47.6134829
334,Berliner Doner Kebab,Seating 13-50,-122.33441,47.6002002
335,Berliner Pub,Seating 13-50,-4.5842152,55.9736116
336,Bernard'S On Seneca,Seating 51-150,-122.3344649,47.6072739
337,Berry Bbq Catering & Takeout,Seating 13-50,[0.0],[0.0]
338,Bert'S Markets Inc,Meat/Sea Food,-122.28001183825708,47.6348012
339,Best Catering,Catering Operation,-122.2485433,47.4476076
340,Best Corn #1  - @ Sam'S Way,Mobile Food Service,-122.3539978,47.5210333
341,Best Friend Espresso,Seating 0-12,[0.0],[0.0]
342,Best Of Bento,Seating 13-50,-122.3133326,47.6596112
343,Best Of India,Seating 13-50,-122.29136779476366,47.459221799999995
344,Best Teriyaki,Seating 0-12,-122.3251193,47.6188364
345,Best Teriyaki & Bento,Seating 13-50,-122.37698240798358,47.7695583
346,Best Western Airport Inn,Seating 51-150,[0.0],[0.0]
347,Best Western Executive Inn,Seating 51-150,-122.3458957614059,47.6203243
348,Best Western Peppertree,Seating 13-50,-122.2345633043675,47.30175185
349,Best Wok,Seating 51-150,-122.1430588,47.6101047
350,Beta Theta Pi,Seating 51-150,-122.3100645,47.6628869
351,Bethel Christian Center,Non-Profit Institution,-122.34110078001524,47.32338165
352,Better Meat Inc,Grocery,-122.36099485366216,47.68820075
353,Betty,Seating 51-150,-122.3572116,47.6326914
354,Beverages & More,Seating 0-12,-122.2001416,47.6204739
355,Beverly Park At Glendale,School Kitchen,-122.3174294,47.5094394
356,Bevmo!,Seating 0-12,-122.367945,47.661754
357,Bibimbap,Seating 0-12,-122.3358006,47.6037539
358,Bick'S Broadview Grill,Seating 51-150,-122.3557878,47.7067227
359,Big Air Bar-B-Que,Seating 0-12,-121.4113446,47.4211021
360,Big Apple Bagel,Seating 13-50,[0.0],[0.0]
361,Big Apple Deli,Seating 13-50,[0.0],[0.0]
362,Big Bawarchi,Seating 51-150,-122.1323495,47.6300347
363,Big Bazaar,Grocery,-122.1375199,47.6455846
364,Big Daddy'S,Seating 13-50,-122.2197941,47.2987841
365,Big Fish Grill,Seating 151-250,[0.0],[0.0]
366,Big Food / Centerhouse #208,Seating 0-12,-122.35397700018214,47.6220986
367,Big Food Bbq,Mobile Food Service,-122.3777685,47.5617127
368,Big Food/Pacific Raceway,Seating 13-50,-122.1495534,47.3676426
369,Big Foot Java,Seating 0-12,[0.0],[0.0]
370,Big Mario'S New York Style Pizza,Seating 13-50,-122.319023,47.6139519
371,Big Orange,Seating 0-12,-122.2583964977926,47.45894615
372,Big Picture,Seating 13-50,-122.3490138,47.614714
373,Big Picture School; The,School Kitchen,-122.140333,47.5908581
374,Big Time Brewing Co,Seating 51-150,-122.31357594886455,47.65785225
375,Bigfun,Seating 151-250,-122.318451,47.6150551
376,Bilisee Mini Market,Grocery,-122.269769,47.528966
377,Blazing Bagels,Seating 13-50,-122.19687180287366,47.61477185
378,Blazing Bagels @ Safeco Field,Seating 0-12,-122.3341977,47.5912484
379,Bleacher'S Pub,Seating 13-50,-122.3553542,47.6725083
380,Blend,Seating 0-12,-122.3862691,47.6684325
381,Blend Juice & Java Lounge;The,Seating 0-12,-121.99601,47.362503
382,Blimpie,Seating 13-50,[0.0],[0.0]
383,Blind Pig Bistro,Seating 51-150,-122.3255195,47.6394811
384,Blinker Tavern,Seating 51-150,-122.24698104848181,47.3823583
385,Blinkers Bar,Seating 0-12,-122.235683,47.3222772
386,Bliss Coffehouse & Cafe,Limited Food Services,-122.1684796,47.7525136
387,Bloom Restaurant,Seating 13-50,-122.378742,47.668316
388,Blossom Vegetarian,Seating 151-250,-122.2083976,47.4794079
389,Blu Grouse,Seating 13-50,-122.3287771,47.5521123
390,Blu Hong Kong Bisro,Seating 151-250,-122.21915359686747,47.4433668
391,Blue C Sushi,Seating 151-250,-122.201701,47.6255964
392,Blue Dragon,Seating 51-150,-122.2193863,47.4397901
393,Blue Fin & Seafood,Seating 151-250,[0.0],[0.0]
